State,State Abbreviation,GDP in billion current U.S. dollars,Median household income in 2015,Population density(Pop. Per km²),land area (km²),"Population estimate July 1, 2016",Number of workers,"Car, truck or van drove alone %","Car, truck or van carpooled %",Public transportation (excluding taxicab) %,Walked %,"Taxicab, motorcycle, bicycle or other means %",Worked at home %,Mean travel time to work (minutes),avgPrice,salesVolume
Alabama,AL,210.95,44765,37.07603052503983,131171,4863300,1983610,86.36107904275538,8.533986015396172,0.48356279712241823,1.0488957002636607,1.0490469396706006,2.5234295047917685,23.61821376177777,21704.219458668616,17771
Alaska,AK,52.79,73355,0.5019740140586338,1477953,741894,357776,66.68194624569563,12.986617324806582,1.8416551138142303,8.82283887124905,5.370678860516078,4.29626358391843,18.360314833862528,20635.863290004483,2231
Arizona,AZ,319.85,51492,23.5584843324598,294207,6931071,2754451,76.25388870595266,11.038279497438873,2.359308624477255,2.068724402793878,2.821469686699818,5.458329082637521,23.432188483294855,19647.60064722905,32137
Arkansas,AR,124.92,41995,22.172781978318778,134771,2988248,1223214,83.41475816987052,10.142869522422078,0.4744059502262073,1.652368269166311,1.487883559213678,2.8277145291012036,20.82653566751198,22699.63305047868,9192
California,CA,2746.9,64500,97.28209316274481,403466,39250017,16745843,73.2126773193801,10.901063625163571,5.31428008730286,2.7331738390238103,2.596710120834168,5.242095008295491,26.41296021944073,21015.553532703274,112053
Colorado,CO,342.75,63909,20.64048116648226,268431,5540545,2577184,74.65326495896296,9.71277176949725,3.3466372598929683,2.9349476017234313,2.460359834610179,6.892018575313211,22.899201221177844,20768.19521051808,31945
Connecticut,CT,260.83,71346,285.15802902248447,12542,3576452,1736156,77.94529984632717,8.28854089148671,5.134158451199085,3.149832157939724,1.1548501401947753,4.327318512852531,24.357629729125723,18470.368875488246,14593
Delaware,DE,73.54,61255,188.63978601149196,5047,952065,423542,80.33913992000792,9.078438501966748,3.522436972012221,2.1480750433251012,1.1706040959338153,3.741305466754183,24.457881390747552,21129.086860304287,3615
District of Columbia,DC,130.0,75628,4311.202531645569,158,681170,330087,32.31178446894304,5.305268005101685,38.48833792303241,13.633678393877977,5.876026623284165,4.384904585760724,28.632421149575716,12140.137931034482,29
Florida,FL,967.34,49426,148.4115791974771,138887,20612439,8353263,79.64029146454506,9.419325118818838,2.100915534444444,1.5264573855749544,2.234982904285427,5.078027592331284,24.80052346011373,20476.725878442547,105300
